conditioning,char_acc_mean,char_acc_std,changed_acc_mean,changed_acc_std,exact_line_acc_mean,exact_line_acc_std,arith_exact_mean,runs
command,0.9646931794308632,0.0017937898175478205,0.8463696535388254,0.018506321195304414,0.8330935828877005,0.010288711135821195,0.0,3
family,0.9733050404694706,0.00035820758853495686,0.6052860008561493,0.019711878206066232,0.8635982019070254,0.005275829298678458,0.0,3
none,0.9625201788985797,0.005850817470234245,0.5776965269290596,0.014421572520862997,0.7772766495487083,0.07313337069874228,0.0,3
