conditioning,overall_changed_acc_mean,overall_changed_acc_std,typing_changed_acc_mean,typing_changed_acc_std,enter_changed_acc_mean,enter_changed_acc_std,exact_line_acc_mean,exact_line_acc_std,runs
command,0.6925342163548178,0.0060793364772160526,0.720217247804006,0.0065076366149730384,0.1818479299545288,0.038840273881420403,0.7127674419262654,0.03540650472704986,3
family,0.5776165903094329,0.017601520246206186,0.6025846600532532,0.0318290139920016,0.35857629776000977,0.023797967008086188,0.8644482075658546,0.011218032229979821,3
none,0.57518396390973,0.013101977527681516,0.6004213492075602,0.0223217628298639,0.28596335649490356,0.03225388053749753,0.6853397730809494,0.028907715282519102,3
