setting,train_data,test_data,char_acc_mean,char_acc_std,changed_acc_mean,changed_acc_std,exact_line_acc_mean,exact_line_acc_std,arith_exact_mean,runs
clean→clean,clean,clean,0.9680728870462327,0.0035228710481873655,0.834508843840489,0.0029331079977071494,0.8287176244235068,0.011708503055788676,0.0,3
clean→noisy,clean,noisy,0.9414749549323228,0.009131410819976914,0.6176361696119104,0.06211846251188498,0.8350515701408221,0.0059883089040184525,0.0,3
noisy→clean,noisy,clean,0.9521009506833037,0.007851057296984269,0.8409194086413496,0.01193300796069,0.8412916277622159,0.01464582785651069,0.0,3
noisy→noisy,noisy,noisy,0.9465768301540914,0.004308927495155366,0.6787130245666507,0.039905721820295545,0.8380866572935032,0.02364357499826215,0.0,3
